Component,d33 (pC/N),Tc (°C)
0.994(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3 − 0.006BiFeO3 ,246.0,253
0.96(K0.5Na0.5)0.95Li0.05Nb0.93Sb0.07O3–0.04CaZrO3 ,420.0,243
0.96(K0.48Na0.49Li0.03)NbO3-0.04Bi0.5Na0.5ZrO3,252.0,250
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.44Fe0.06Ag0.03Na0.47ZrO3,464.0,228
0.96K0.48Na0.52Nb0.95Sb0.05O3–0.04(Bi0.5Ag0.5)(Zr0.9Hf0.1)O3 ,510.0,213
Li0.05(Na0.515K0.485)0.95Nb0.8Ta0.2O3-BiFeO3,200.0,267
0.95(Na0.49K0.5)NbO2.995-0.05SrTiO3,220.0,340
0.76K0.5Na0.5NbO3–0.24AgNbO3,162.0,369
0.82K0.5Na0.5NbO3–0.18AgNbO3,186.0,357
 Li0.02(Na0.53K0.48)0.98Nb0.8Ta0.2O3-0.05AgSbO3,265.0,437
0.97K0.48Na0.52Nb0.96Sb0.04O3-0.03Bi0.5Na0.5ZrO3 ,278.0,251
K0.5Na0.5Nb0.95Ta0.05O3,89.0,405
0.955(K0.42Na0.58)(Nb0.96Sb0.04)O3–0.045(Bi0.5K0.5)0.90Zn0.10ZrO3 ,416.0,244
0.92(Na0.5K0.5)NbO3-0.02(Bi0.5Li0.5)TiO3-0.06BaZrO3,350.0,259
0.96K0.48Na0.52NbO3-0.04Bi0.5(Na0.925Li0.075)0.5ZrO3,242.0,250
0.96(K0.48Na0.52)(Nb0.95Sb0.05)O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,490.0,220
0.96(K0.48Na0.52)(Nb0.97Sb0.03)O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,440.0,236
0.92(Na0.51K0.46Li0.03)NbO3–0.02Bi0.5K0.5TiO3–0.06BaZrO3,253.0,249
 0.948(K0.5Na0.5)NbO3–0.052LiSbO3,265.0,450
0.94K0.49Na0.51NbO3-0.06LiNbO3,246.0,467
0.935(K0.4Na0.6)NbO3–0.02CaZrO3–0.045Bi0.5Na0.5HfO3,320.0,297
K0.5Na0.5NbO3-0.003Pr,108.4,395
0.965K0.45Na0.55Nb0.96Sb0.04O3-0.035（Bi0.75Pr0.25）0.5Na0.5HfO3,480.0,223
